food_no,food_class_no,food_name,food_dsc
247,19,돼지고기메추리알장조림,NULL
248,16,돼지고기수육,"돼지고기 수육 : 돼지고기 덩어리를 된장, 소주 등을 넣어 삶아낸 뒤 썰어 새우젓, 초고추장과 곁들여 먹는 음식"
249,18,돼지고기김치볶음,NULL
250,15,돼지고기김치찌개,김치찌개 : 김치로 만든 한국 찌개류
251,16,돼지고기김치찜,NULL
252,26,돼지고기녹두빈대떡,"빈대떡 : 간 녹두에 김치, 돼지고기를 넣고 납작하게 부쳐 먹는 평안도의 전통음식"
253,1,돼지고기덮밥,NULL
255,18,돼지고기볶음,돼지고기볶음 : 돼지고기를 얇게 저며 생강즙을 넣은 고추장 양념에 재웠다가 볶은 음식이다.
256,18,"돼지고기볶음,배추김치",돼지고기볶음 : 돼지고기를 얇게 저며 생강즙을 넣은 고추장 양념에 재웠다가 볶은 음식이다.
257,18,버섯돼지고기볶음,돼지고기볶음 : 돼지고기를 얇게 저며 생강즙을 넣은 고추장 양념에 재웠다가 볶은 음식이다.
258,18,오징어돼지고기볶음,돼지고기볶음 : 돼지고기를 얇게 저며 생강즙을 넣은 고추장 양념에 재웠다가 볶은 음식이다.
259,18,짜장돼지고기볶음,돼지고기볶음 : 돼지고기를 얇게 저며 생강즙을 넣은 고추장 양념에 재웠다가 볶은 음식이다.
260,17,돼지고기산적,"돼지고기산적 : 소금과 된장을 넣은 물에 삶은 돼지고기를 썰어 양념(다진 파ㆍ마늘, 소금, 깨소금, 참기름)하여 꼬치에 꿰어 식용유를 두른 팬에 지진 것이다."
261,26,돼지고기완자전,"돼지고기완자전 : 다진 돼지고기ㆍ양파ㆍ당근, 으깬 두부에 소금, 다진 파ㆍ마늘, 참기름, 후춧가루를 넣고 양념하여 동글납작하게 완자를 빚어 밀가루와 달걀물을 묻혀 식용유를 두른 팬에 지진 것이다."
262,19,돼지고기장조림,"돼지고기장조림 : 돼지고기를 토막 내어 생강, 물, 파, 마늘을 넣고 고기를 푹 삶은 다음 간장과 설탕을 넣어 은근한 불에 조린 것이다."
263,19,"돼지고기장조림,메추리알","돼지고기장조림 : 돼지고기를 토막 내어 생강, 물, 파, 마늘을 넣고 고기를 푹 삶은 다음 간장과 설탕을 넣어 은근한 불에 조린 것이다."
264,15,돼지고기찌개,"돼지고기찌개 : 납작하게 썬 돼지고기와 배추김치, 나박썰기 한 무, 채 썬 양파, 고추장, 고춧가루, 다진 생강을 넣고 물을 부어 끓이다가 납작하게 썬 두부를 넣고 다진 마늘, 대파, 소금, 후춧가루로 양념하여 끓인 것이다."
265,16,돼지고기찜,NULL
266,18,돼지고기채소볶음,NULL
267,1,돼지국밥,돼지국밥 : 돼지 뼈로 우려낸 육수에 돼지고기 편육과 밥을 넣어 먹는 국밥류
268,18,돼지껍데기볶음,"돼지껍데기볶음 : 돼지 껍데기는 돼지의 껍데기 부분으로, 삶아서 매콤하게 볶아 먹는다."
269,16,돼지등갈비찜,NULL
270,16,돼지머리고기,돼지머리편육 : 돼지머리를 이용한 편육요리
271,17,돼지불고기,제육볶음 : 돼지고기 목살을 얇게 저며 잔 칼집을 넣고 생강즙을 충분히 넣은 고추장 양념에 재웠다 볶은 대표적인 고추장 양념 볶음
272,17,간장돼지불고기,제육볶음 : 돼지고기 목살을 얇게 저며 잔 칼집을 넣고 생강즙을 충분히 넣은 고추장 양념에 재웠다 볶은 대표적인 고추장 양념 볶음
273,17,고추장돼지불고기,제육볶음 : 돼지고기 목살을 얇게 저며 잔 칼집을 넣고 생강즙을 충분히 넣은 고추장 양념에 재웠다 볶은 대표적인 고추장 양념 볶음
274,15,된장찌개,된장찌개 : 된장을 푼 물에 갖은 재료를 넣어 끓인 찌개
275,24,두릅초고추장무침,NULL
276,15,두부고추장찌개,NULL
277,18,두부김치,두부김치 : 따뜻하게 데친 두부에 김치와 돼지고기를 볶아 곁들인 음식
278,18,돼지고기두부김치,두부김치 : 따뜻하게 데친 두부에 김치와 돼지고기를 볶아 곁들인 음식
279,13,두부된장국,NULL
280,15,두부된장찌개,된장찌개 : 된장을 푼 물에 갖은 재료를 넣어 끓인 찌개
281,26,두부부침,NULL
282,26,두부전,"두부전 : 두부전은 콩이 좋은 함경도에서 두부지지미, 두부저냐, 연포전 등으로 불리우며 제사상에는 빠지지 않고 반드시 올리는 아주 친숙한 찬물이다."
283,15,두부전골,두부전골 : 두부를 이용한 전골요리
284,19,두부조림,두부조림 : 두부로 만든 조림 요리
285,13,들깨국,NULL
286,4,들깨칼국수,들깨칼국수 : 들깨 즙을 물과 함께 끓이다가 칼국수를 넣고 애호박과 표고버섯을 고명으로 얹은 국수
287,20,등심돈가스,NULL
288,20,등심돈까스,NULL
289,17,등심스테이크,NULL
290,19,땅콩조림,"땅콩조림 : 끓인 콩이 반쯤 익으면 멸치국물, 진간장 등을 넣어 섞고 졸인 것"
291,26,떡갈비,떡갈비 : 갈비살을 곱게 다져 갈비뼈에 붙여 양념장을 발라가며 구워 먹는 구이요리
292,20,떡강정,NULL
293,13,떡국,떡국 : 맑은 장국에 가래떡을 얄팍하게 썰어 넣어 끓인 국
294,4,"떡국,달걀",떡국 : 맑은 장국에 가래떡을 얄팍하게 썰어 넣어 끓인 국
295,4,"떡국,소고기",떡국 : 맑은 장국에 가래떡을 얄팍하게 썰어 넣어 끓인 국
296,4,떡라면,떡라면 : 떡을 넣고 끓인 라면
297,13,떡만두국,떡만둣국 : 만두와 먹기 좋은 크기로 썬 가래떡을 넣어 끓인 국 요리
298,4,"떡만두국,고기만두",NULL
299,13,떡만둣국,떡만둣국 : 만두와 먹기 좋은 크기로 썬 가래떡을 넣어 끓인 국 요리
300,5,떡볶이,떡볶이 : 가래떡을 잘라 쇠고기와 야채를 섞고 갖은양념하여 볶은 음식
301,18,간장떡볶이,떡볶이 : 가래떡을 잘라 쇠고기와 야채를 섞고 갖은양념하여 볶은 음식
302,18,"떡볶이,고추장,메추리알",떡볶이 : 가래떡을 잘라 쇠고기와 야채를 섞고 갖은양념하여 볶은 음식
303,18,"떡볶이,고추장,어묵",떡볶이 : 가래떡을 잘라 쇠고기와 야채를 섞고 갖은양념하여 볶은 음식
304,4,라면,NULL
305,5,라볶이,"라볶이 : 떡과 채소, 어묵을 넣고 고추장 양념에 볶는 떡볶이에 라면을 함께 넣고 끓이는 음식이다."
306,20,라조기,라조기 : 튀긴 닭고기를 여러 야채와 함께 볶은 중국요리
307,17,런천미트구이,NULL
308,6,롤케이크,NULL
309,6,링도넛,NULL
310,6,마늘빵,갈릭브레드 : 마늘버터를 발라 구운 프랑스빵
311,29,마늘장아찌,"마늘 장아찌 : 통마늘을 식초, 설탕, 간장에 숙성시키는 장아찌"
312,24,마늘장아찌무침,NULL
313,24,마늘쫑무침,NULL
314,18,마늘쫑볶음,NULL
315,18,마늘쫑건새우볶음,NULL
316,18,마늘쫑잔멸치볶음,NULL
317,19,마늘쫑조림,NULL
318,24,마카로니샐러드,NULL
319,18,마파두부,NULL
320,4,막국수,막국수 : 메밀국수를 김칫국물에 말아 먹는 강원도 향토음식
321,4,만두,만두 : 밀가루나 메밀가루 반죽으로 껍질을 만들어 고기 ·두부 ·김치 등으로 버무린 소를 넣고 찌거나 튀긴 음식
322,4,만두국,만둣국 : 만두를 빚어 장국에 넣어 끓인 국
323,13,만둣국,만둣국 : 만두를 빚어 장국에 넣어 끓인 국
324,6,만주,만주 : 일본과자 중 생과자(生菓子)의 하나.
325,13,맑은감자국,NULL
326,26,맛살전,NULL
327,13,매생이국,매생이국 : 굴과 다진 마늘을 참기름에 볶아 굴의 향이 우러나면 매생이를 넣고 물을 부어 살짝 끓인 뒤 국간장으로 간한 국이며 매생이탕이라고도 한다.
328,29,매실장아찌,매실장아찌 : 소금에 절인 매실과 차조기 잎을 혼합해 서늘한 곳에 두었다 먹는 장아찌
329,16,매운갈비찜,"매운갈비찜 : 미리 삶아낸 돼지갈비나 소갈비에 고추장 양념장과 감자, 당근 등의 채소를 넣고 조려낸 찜이다."
330,16,매운찜닭,안동찜닭 : 경상북도 안동에서 유래한 음식으로 삶은 닭에 소스 온갖 채소와 양념을 섞어 졸인 요리
331,11,매작과,"매작과 : 매작과는 그 모양이 '마치 매화나무에 참새가 앉은 모습과 같다'하여 한자로 매화 매(梅), 참새 작(雀) 자(字)를 써서 매작과(梅雀菓)라고 하는데 매잣과 · 매잡과(梅雜菓) · 매엽과(梅葉菓) · 타래과 등 여러 이름으로 불리며 손님접대용의 다과상이나 어린이들 간식용으로 많이 쓰인다."
332,18,머위나물볶음,머위나물볶음 : 머위는 줄기와 잎을 분리해 삶아서 사용한다.
333,23,머위대나물,NULL
334,6,머핀,컵케이크 : 밀가루 ·설탕 ·달걀 ·유지 ·우유 ·베이킹 파우더 등을 섞어서 구워 만든 과자
335,1,멍게비빔밥,"멍게비빔밥 : 그릇에 밥과 각종 나물, 고기, 달걀, 고추장 등을 넣고 비벼 먹는 비빔밥에 멍게를 넣은 밥이다."
336,13,메기매운탕,"메기매운탕 : 썬 무를 넣고 끓인 국물에 메기를 넣고 고추장을 풀고 미나리, 쑥갓, 깻잎, 양념고추장을 넣어 끓인 탕"
337,15,"메기매운탕,해물","메기매운탕 : 썬 무를 넣고 끓인 국물에 메기를 넣고 고추장을 풀고 미나리, 쑥갓, 깻잎, 양념고추장을 넣어 끓인 탕"
338,4,메밀국수,메밀국수 : 메밀가루를 주원료로 한 국수
339,4,메밀소바,NULL
340,26,메밀전,NULL
341,26,메밀전병,"메밀전병 : 메밀가루를 묽게 반죽해서 무, 고기 등을 소로 넣고 말아 익히는 떡"
342,19,메추리알장조림,NULL
344,18,멸치견과류볶음,"멸치견과류볶음 : [준비 재료] 지리멸치 1컵(종이컵), 호두알 3큰술, 호박씨(국산) 3큰술, 잣 3큰술, 미역귀 3큰술(10g, 없으면 안 넣어도 됨), 검정깨 1큰술, 조청 1큰술(사용량 감해도 됨), 참기름 1큰술 양념장 간장 1큰술, 고춧가루 1작은술, 매실주 3큰술, 매실 원액 5큰술, 다진 마늘 2작은술, 생강가루 1작은술 [조리 순서] [조리 방법] 1."
345,18,멸치고추볶음,NULL
346,18,멸치마늘쫑볶음,NULL
347,18,멸치볶음,멸치볶음 : 마른 잔멸치를 물기 없이 볶아 만든 마른 반찬 종류다.
348,19,멸치조림,NULL
349,2,멸치주먹밥,NULL
350,6,모닝빵,NULL
351,5,모듬찰떡,NULL
352,20,모래집튀김,NULL
353,24,모자반무침,"모자반무침 : 방법 1 : 데친 모자반과 쪽파, 붉은 고추, 풋고추를 양념(멸치젓, 고춧가루, 다진 마늘, 참기름)으로 무친 것이다."
354,6,모카빵,모카빵 : 양질의 커피를 함유한 빵.
355,13,무국,뭇국 : 다시마나 멸치를 우려만든 물에 쇠고기조금과 무를 넣고 끓인 요리
356,23,무나물,무나물 : 무를 채 썰어서 볶다가 물을 넣고 무르게 익힌 숙채
357,13,무된장국,"무된장국 : 멸치나 소고기육수에 된장을 풀고, 무를 넣어 끓이는 국이다."
358,24,무말랭이무침,무말랭이무침 : 무말랭이를 무쳐 만든 반찬의 하나
359,1,무밥,무밥 : 밥솥이나 냄비에 무채를 깔고 그 위에 쌀을 고루 펴서 앉히고 밥물을 부어 지은 밥
360,24,무생채,"무생채 : 무를 채 썰어 식초, 설탕, 고춧가루 등의 양념을 넣고 무쳐 먹는 생채"
361,13,무시래기된장국,된장국 : 쌀뜨물에 된장과 고추장을 풀어 끓인 국
362,29,무장아찌,무장아찌 : 소금에 절여 물기를 뺀 무를 고추장이나 간장으로 숙성시킨 장아찌
363,19,무조림,NULL
364,5,무지개떡,무지개떡 : 멥쌀가루를 물들이고자 하는 색의 수대로 나누어 색물을 들여 찌는 떡
365,29,무짠지,짠지 : 무를 통으로 짜게 절여 이듬해에 먹는 김치
366,1,묵밥,묵밥 : 도토리묵은 소화가 잘되며 다이어트에 좋은 식품이다.
367,18,묵은지삼겹살볶음,NULL
368,16,문어숙회,"문어숙회 : 문어를 끓는 물에 살짝 데쳐 어슷하게 썬 후, 초고추장이나 기름소금장에 찍어 먹는 음식이다."
369,2,문어초밥,NULL
370,4,물냉면,물냉면 : 메밀국수를 찬 장국에 말아먹는 평양지방의 향토음식
371,4,물만두,"물만두 : 물만두는 돼지고기, 부추, 대파 등을 다져 만든 소를 밀가루 피에 감싸 빚은 후 끓는 물이나 육수에 삶아 국물과 함께 먹는 만두이다."
372,28,물회,"물회 : 해산물을 잘게 썰어, 파, 마늘, 양파 등과 함께 매콤하게 양념하여 찬물을 부어 먹는 회 요리"
373,23,미나리나물,미나리나물 : 미나리를 끓는 물에 데쳐 갖은 양념으로 무친 나물이다.
374,24,미나리무침,미나리나물 : 미나리를 볶아서 양념한 숙채 요리
375,26,미나리전,"미나리전 : 식용유를 두른 팬에 미나리를 올리고, 밀가루와 쌀가루, 달걀물, 소금을 넣은 반죽을 끼얹은 다음 양념(다진 파ㆍ마늘, 소금, 깨소금, 후춧가루, 참기름)하여 볶은 쇠고기와 어슷하게 썬 풋고추ㆍ붉은 고추를 올려 지진 것이다."
376,13,미소된장국,NULL
377,12,미숫가루,미숫가루 : 찹쌀 ·멥쌀 또는 보리쌀을 쪄서말린 다음 다시 볶아서 가루로 만든 식품
378,13,미역국,미역국 : 미역을 넣어 끓인 국
379,13,들깨미역국,미역국 : 미역을 넣어 끓인 국
380,13,바지락미역국,미역국 : 미역을 넣어 끓인 국
381,13,소고기미역국,미역국 : 미역을 넣어 끓인 국
382,13,홍합미역국,미역국 : 미역을 넣어 끓인 국
383,14,미역냉국,"미역냉국 : 냉수에 불린 미역과 채 썬 오이를 넣고, 간장, 식초로 간을 한 냉국이다."
384,13,"미역냉국,오이,고추","미역냉국 : 냉수에 불린 미역과 채 썬 오이를 넣고, 간장, 식초로 간을 한 냉국이다."
385,13,미역된장국,NULL
386,14,미역오이냉국,"미역오이냉국 : 불린 미역을 썰어 찬물을 붓고 채 썬 오이, 어슷하게 썬 풋고추ㆍ붉은 고추를 넣은 후 소금, 식초, 설탕 등을 넣어 간을 한 것이다."
387,18,미역줄기볶음,미역줄기볶음 : 미역줄기는 미역의 줄기를 얇고 길게 쪼개 놓은 것이다.
388,24,미역초무침,"미역초무침 : 데친 미역에 소금, 설탕, 식초를 넣고 상큼하게 간을 한 음식이다."
389,20,미역튀각,NULL
390,4,미트볼토마토스파게티,NULL
391,19,미트볼조림,NULL
392,16,민어찜,민어찜 : 민어를 손질하여 통으로 또는 토막을 내어 찐 후 고명을 얹은 음식이다.
393,13,바지락조개국,NULL
394,4,바지락칼국수,바지락칼국수 : 바지락조개를 넣어 만든 칼국수
395,23,방풍나물,방풍 : 쌍떡잎식물 산형과의 세해살이풀
396,24,배추겉절이,배추겉절이 : 소금으로 절인 배추에 갖가지 양념을 넣어 버무려 만든 즉석 김치
397,21,배추김치,배추김치 : 배추를 주재료로 하여 소금에 절여 헹군 뒤 양념을 넣고 담그는 김치
398,23,배추나물,NULL
399,13,배추된장국,배추속대국 : 배추속대를 넣고 끓인 토장국
400,26,배추전,배추전 : 배추에 밀가루 반죽을 묻혀 식용유를 두른 팬에 지진 것
401,21,백김치,"백김치 : 백김치는 배추에 고춧가루를 쓰지 않고 무채, 밤, 배, 대추, 석이버섯, 실고추 등으로 속을 넣고 양지머리 육수나 과즙의 국물을 자작하게 부어 익힌 깨끗하고 시원한 김치로 담백한 맛이 일품이다."
402,5,백설기,백설기 : 멥쌀가루에 물 또는 설탕물을 내려서 시루에 안쳐 깨끗하게 찐 한국 전래의 시루떡
403,24,밴댕이무침,NULL
404,17,뱅어포구이,뱅어포구이 : 마른 뱅어포를 고추장 양념을 발라 굽는 찬
405,17,버섯구이,NULL
406,15,버섯샤브샤브,NULL
407,26,버섯전,버섯전 : 버섯으로 부친 전
408,15,버섯전골,버섯전골 : 버섯·쇠고기·채소 등을 그릇에 담아 국물을 부어 끓인 음식
409,19,버섯조림,NULL
410,15,버섯찌개,NULL
411,6,버터크림빵,NULL
412,6,베이글,빵 : 곡식 가루에 소금·설탕·기름·베이킹파우더나 이스트를 넣어 반죽하여 부풀려 굽거나 찐 음식
413,17,병어구이,병어구이 : 칼집을 넣고 소금을 살짝 뿌린 병어를 달군 석쇠에 구운 다음 고명으로 송송 썬 실파와 실고추를 얹는다.
414,19,병어조림,"병어조림 : 병어에 감자, 고추 등을 넣은 뒤 고추장을 풀어 매콤하게 조린 요리"
415,16,병어찜,병어찜 : 손질한 병어를 쪄서 양념을 올려 먹는 찜 요리
416,1,보리밥,보리밥 : 푹 퍼지게 삶은 보리쌀을 깔고 그 위에 불린 쌀을 안쳐 물을 부어 지은 밥이다.
417,21,보쌈김치,보쌈김치 : 절인 배추 줄기를 잘라 넓은 잎에 세워놓고 사이사이에 소를 박아 싸서 익힌 김치
418,13,복지리탕,NULL
419,16,복찜,복찜 : 손질한 복어를 야채와 함께 양념하여 자작하게 조려낸 찜 요리.
420,4,볶음우동,야키소바 : 삶은 국수에 야채·고기 등을 넣고 볶은 일본요리
421,15,부대찌개,부대찌개 : 6·25전쟁 직후 미국부대에서 쓰고 남은 햄과 소시지를 이용하여 끓여 먹은 찌개
422,21,부추김치,"부추김치 : 부추를 멸치젓국에 살짝 절였다가 따라낸 젓국에 생강, 마늘, 고춧가루 등을 넣어 부추와 함께 버무려서 담근 김치"
423,24,부추무침,"부추무침 : 부추를 썰어 고춧가루, 다진 파 · 마늘, 멸치액젓 등의 양념으로 무친 것이다."
424,26,부추전,"부추전 : 부추와 채 썬 당근, 어슷하게 썬 풋고추에 밀가루 반죽을 섞어 식용유를 두른 팬에 둥글납작하게 지진 것이다."
425,26,해물부추전,"부추전 : 부추와 채 썬 당근, 어슷하게 썬 풋고추에 밀가루 반죽을 섞어 식용유를 두른 팬에 둥글납작하게 지진 것이다."
426,13,북어국,NULL
427,19,북어조림,북어조림 : 북어를 갖은 양념으로 약한불에서 조린 음식
428,16,북어찜,북어찜 : 불린 북어포에 간장 양념을 끼얹어 물을 부어 끓인 것이다.
429,24,북어채무침,"북어채무침 : 북어는 명태를 건조한 것으로, 씹는 맛이 좋다."
430,25,북어포,북어포무침 : 가늘게 북어포를 잘라서 고춧가루를 넣어 매운 맛으로 무친 마른 찬
431,13,북엇국,북엇국 : 찢어 불린 북어포와 나박썰기 한 무를 참기름에 볶다가 물을 부어 끓으면 두부를 넣고 한소끔 끓인다.
432,17,불고기,불고기 : 쇠고기 등을 얇게 저며서 양념에 재웠다가 불에 구워 먹는 한국 요리
433,1,불고기덮밥,불고기덮밥 : 얇게 썬 소고기와 채소를 간장 양념 해 버무려 볶은 불고기를 밥 위에 얹어 먹는 음식이다.
434,7,불고기버거,NULL
435,8,불고기피자,NULL
436,15,불낙전골,NULL
437,16,붕어찜,붕어찜 : 무와 시래기를 깔고 붕어에 양념장을 얹어 끓여 졸인 찜
438,17,붕장어소금구이,NULL
439,18,브로콜리볶음,NULL
440,23,비름나물,"비름나물 : 살짝 데친 비름을 기호에 따라 간장 양념(간장, 참기름, 다진 마늘, 깨소금), 된장 양념(된장, 고춧가루, 참기름, 다진 마늘), 고추장 양념(고추장, 식초, 참기름, 다진 마늘, 깨소금, 설탕)으로 무친 것이다."
441,4,비빔국수,비빔국수 : 국물을 넣지 않고 여러 가지 양념을 넣어 비빈 국수
442,4,비빔냉면,비빔냉면 : 홍어회무침을 꾸미로 얹은 비빔냉면
443,4,비빔막국수,NULL
444,1,비빔밥,NULL
445,13,뼈다귀해장국,NULL
446,13,뼈해장국,뼈해장국 : 소뼈와 소고기를 넣고 끓인 국물에 데친 선지와 쇠고기 등을 얹어낸 해장국
447,13,사골국,NULL
448,13,사골만두국,NULL
449,6,사과파이,애플파이 : 파이 접시 위에 설탕 조림한 사과를 싸 오븐에 구운 서양과자
450,17,삼겹살고추장구이,NULL
451,17,삼겹살구이,"삼겹살구이 : 삼겹살을 팬에 구워 소금, 참기름을 곁들인 것"
452,13,삼계탕,삼계탕 : 닭에 인삼을 넣고 고아서 먹는 보양식
453,1,삼선볶음밥,NULL
454,4,삼선짜장면,"짜장면 : 돼지고기 간것과 양파, 호박, 생강 등을 다져 중국된장과 함께 볶은 양념을 국수에 넣어 비벼 먹는 요리"
455,4,삼선짬뽕,NULL
456,17,삼치구이,삼치구이 : 손질한 삼치를 팬이나 석쇠에 구워 먹는 요리
457,19,삼치조림,NULL
458,24,상추겉절이,상추겉절이 : 상추에 양념을 넣고 무친 겉절이
459,17,새송이버섯구이,새송이버섯구이 : 송이버섯구이는 원래 송이버섯 그 자체의 향기와 맛을 음미하여 한철만 즐길 수 있는 귀한 요리이다.
460,18,새송이버섯볶음,NULL
461,26,새송이버섯전,NULL
462,22,새싹채소샐러드,NULL
463,17,새우구이,새우구이 : 팬에 굵은 소금을 깔고 깨끗이 씻어 등 쪽의 내장을 빼낸 새우를 얹은 다음 소금으로 새우를 덮은 후 팬의 뚜껑을 닫고 구워 낸 요리로 술안주에 좋다.
464,13,새우미역국,NULL
465,18,새우볶음,NULL
466,1,새우볶음밥,NULL
467,15,새우젓두부찌개,NULL
468,2,새우초밥,NULL
469,13,새우탕,새우탕 : 손질한 새우를 갖은 야채와 함께 얼큰하게 끓인 한국의 탕 요리
470,20,새우탕수육,NULL
471,20,새우튀김,"새우튀김 : 새우 껍질을 까고 밀가루, 달걀, 빵가루를 묻혀서 기름에 튀긴 것이다."
472,2,새우튀김롤,NULL
473,2,샐러드김밥,"샐러드김밥 : 김밥 속에 양상추, 파프리카와 새싹채소 등을 넣어 싼 김밥이다."
474,20,생선까스,NULL
475,6,생크림케이크,NULL
476,13,선지해장국,선짓국 : 선지와 채소를 넣고 끓인 국
477,13,선짓국,선짓국 : 선지와 채소를 넣고 끓인 국
478,13,설렁탕,"설렁탕 : 소의 여러 부위를 함께 넣고 푹 끓인 국, 또는 그 국에 밥을 만 음식"
479,17,소갈비구이,NULL
480,16,소갈비찜,"소갈비찜 : 소갈비를 무르게 삶고, 무, 표고버섯, 당근, 밤 등을 넣어 간장 양념을 하여 부드럽게 조려낸다."
481,16,해물소갈비찜,"소갈비찜 : 소갈비를 무르게 삶고, 무, 표고버섯, 당근, 밤 등을 넣어 간장 양념을 하여 부드럽게 조려낸다."
482,1,소고기국밥,소고기국밥 : 국밥은 국에 밥을 말아 먹는 음식이다.
483,2,소고기김밥,소고기김밥 : 김밥의 기본 재료에 다진 소고기를 간장양념으로 볶아 함께 싼 김밥으로 맛과 영양이 좋다.
484,19,소고기메추리알장조림,NULL
485,13,소고기무국,NULL
487,3,소고기버섯죽,소고기버섯죽 : 소고기와 버섯을 잘게 썰어 간장으로 밑간을 한 후 먼저 볶다가 불린 쌀과 육수를 넣어 쑨 음식이다.
488,18,버섯소고기볶음,NULL
489,26,소고기산적,NULL
490,15,소고기샤브샤브,NULL
491,13,소고기육개장,"소고기육개장 : 소 양지머리를 푹 삶아 가늘게 찢고, 무, 토란대, 대파 등의 채소를 넣어 매콤하게 끓인 국이다."
492,17,소곱창구이,"소곱창구이 : 곱창은 소의 작은창자로, 주로 돌 판에 구워먹는다."
493,15,소곱창전골,NULL
494,17,소내장구이,NULL
495,1,소머리국밥,"소머리국밥 : 가마솥에 소머리뼈와 사골을 넣고 10시간 이상 국물을 우려낸 다음 다시 소머리고기와 무, 우거지, 토란대 등을 넣고 푹 고아 양념장을 넣어 깍두기나 배추김치를 곁들여 먹는다."
496,6,소보로빵,곰보빵 : 빵 표면에 소보로 가루를 묻혀서 오븐에서 구운 달콤한 맛의 일본 빵
497,17,소불고기,NULL
498,17,"소불고기,버섯",NULL
499,18,소세지볶음,NULL
500,18,소시지볶음,NULL
501,18,채소소시지볶음,NULL
502,20,소시지튀김,NULL
503,17,소양념갈비구이,NULL
504,13,소탕,NULL
505,1,송이덮밥,NULL
506,5,송편,송편 : 멥쌀가루를 익반죽하여 소를 넣고 반달 모양으로 빚어 솔잎을 깔고 찐 떡
507,11,송화다식,송화다식 : 송홧가루를 꿀이나 조청으로 반죽하여 다식판에 박아낸 유밀과
508,16,쇠갈비찜,NULL
509,19,쇠고기메추리알장조림,NULL
510,15,쇠고기샤브샤브,NULL
511,18,쇠고기고추장볶음,NULL
512,2,쇠고기김밥,NULL
513,15,쇠고기된장찌개,NULL
514,13,쇠고기무국,뭇국 : 다시마나 멸치를 우려만든 물에 쇠고기조금과 무를 넣고 끓인 요리
515,13,쇠고기미역국,NULL
516,13,쇠고기배추국,NULL
517,18,쇠고기버섯볶음,NULL
518,18,쇠고기볶음,NULL
519,1,쇠고기볶음밥,NULL
520,16,쇠고기사태찜,NULL
521,16,쇠고기수육,NULL
522,19,쇠고기장조림,쇠고기장조림 : 쇠고기를 잘게 토막내어 간장에 조린 짠 반찬
523,15,쇠고기전골,NULL
524,2,쇠고기주먹밥,NULL
525,3,쇠고기죽,NULL
526,18,쇠고기채소볶음,NULL
527,1,수수밥,NULL
528,26,수수부꾸미,수수부꾸미 : 수수 가루를 둥글납작하게 빚어 여러 가지 소를 넣고 기름에 지진떡
529,5,수수팥떡,수수팥떡 : 수수가루를 익반죽한 후 끓는 물에 삶아 건져서 붉은 팥고물을 묻힌 떡이다.
530,12,수정과,수정과 : 우리나라의 전통 음료 중 하나
531,13,수제비,수제비 : 밀가루를 반죽하여 장국에 감자와 함께 적당한 크기로 뜯어 넣어 끓인 음식
532,23,숙주나물,숙주채 : 끓는 물에 살짝 데친 숙주와 미나리 등을 넣어 무친 나물
533,23,숙주미나리나물,숙주나물 : 숙주를 소금물에 삶아 물기를 뺀 후 양념하여 무친 나물
534,16,순대,순대 : 돼지 창자에 여러 재료를 소로 넣어 삶은 음식
536,13,순대국,NULL
537,1,순대국밥,순대국밥 : 소나 돼지의 창자에 각종 채소와 양념 등을 넣어 만든 순대를 돼지 뼈 육수에 넣어 끓여먹는 국밥 형태의 음식
538,18,순대볶음,"순대볶음 : 순대에 양배추, 양파, 깻잎, 대파 등을 넣어 매콤하게 볶아낸 요리"
539,15,순대전골,NULL
540,13,순댓국,순댓국 : 순대는 돼지 창자에 여러 재료를 소로 넣어 삶은 음식이다.
541,15,순두부김치찌개,NULL
542,13,순두부달걀탕,NULL
543,15,순두부찌개,순두부찌개 : 순두부를 넣고 양념하여 끓인 찌개
544,15,돼지고기순두부찌개,순두부찌개 : 순두부를 넣고 양념하여 끓인 찌개
545,15,해물순두부찌개,순두부찌개 : 순두부를 넣고 양념하여 끓인 찌개
546,2,숯불갈비삼각김밥,NULL
547,26,스크램블드에그,NULL
548,4,미트소스스파게티,스파게티 : 파스타의 한 종류로 나폴리가 원산지인 스파게티는 매우 가는 원통형의 롱 파스타이다.
549,4,토마토스파게티,스파게티 : 파스타의 한 종류로 나폴리가 원산지인 스파게티는 매우 가는 원통형의 롱 파스타이다.
550,23,시금치나물,NULL
551,13,시금치된장국,"시금치된장국 : 소고기나 마른 멸치, 또는 조개를 우린 국물에 된장을 풀고 시금치를 넣어 끓인 국물 요리다."
552,23,시래기나물,"시래기나물 : 무청 시래기를 삶아 하룻밤 정도 물에 불린 후 국간장, 다진 파ㆍ마늘, 참기름 등의 양념에 무쳐 팬에 볶은 것이다."
553,13,시래기된장국,시래기된장국 : 시래기를 된장으로 무쳐 육수를 넣고 끓인 국이다.
554,5,시루떡,시루떡 : 쌀을 물에 불려 가루로 만들어 시루에 찌는 떡
555,6,식빵,식빵 : 사각팬에 구운 설탕 10% 이하의 흰 주식용 빵.
556,6,식빵토스트,NULL
557,12,식혜,식혜 : 우리나라 전통 음료
558,4,쌀국수,베트남쌀국수 : 쌀국수에 뜨거운 육수를 붓고 고추를 얹어 먹는 베트남 음식
559,24,쑥갓나물무침,"쑥갓나물무침 : 쑥갓을 데쳐 간장, 참기름 양념에 무친 것이다."
